X,Y,amenity,name,name:en,cuisine,addr:street,addr:postcode,internet_access,opening_hours,addr:city,name:mk,smoking,outdoor_seating,addr:housenumber,int_name,phone,takeaway,website,wheelchair,operator,addr:country,internet_access:fee,email,name:sq,addr:city:en,addr:street:en,drive_in,addr:housename,microbrewery,organic,delivery
22.7757541,41.9669895,bar,Apolon,Apolon,,Н. Ј. Вапцаров,2320,,,Делчево,,outside,,,,,,,,,,,,,,,,,,,
22.7757929,41.9669685,cafe,Apolon,Apolon,,Н. Ј. Вапцаров,2320,,,Делчево,,,,,,,,,,,,,,,,,,,,,
22.775975,41.9670002,restaurant,Ресторан Либеро,Restaurant Libero,regional,Н. Ј. Вапцаров,2320,,,Делчево,,outside,,,,,,,,,,,,,,,,,,,
22.7765278,41.9665702,fast_food,Анкет,Anket,sandwich,бул. Методи Митевски Брицо,2320,,,Делчево,,,,,,,,,,,,,,,,,,,,,
22.7771972,41.9664561,fast_food,Сиан,Sian,sandwich,бул. Македонија,2320,,,Делчево,,,,,,,,,,,,,,,,,,,,,
22.7773156,41.9671248,biergarten,Валиум,Valium Coffee,,бул. Македонија,2320,,,Делчево,,,,,,,,,,,,,,,,,,,,,
22.7772992,41.9671423,cafe,Валиум,Valium Coffee,,бул. Македонија,2320,,,Делчево,,,,,,,,,,,,,,,,,,,,,
22.7773408,41.9671407,bar,Валиум,Valium Coffee,,бул. Македонија,2320,,,Делчево,,outside,,,,,,,,,,,,,,,,,,,
22.7774699,41.9661844,fast_food,Буцко - Бурекчилница,Bucko - Burek,Burek,Ленинова,2320,,,Делчево,,,,,,,,,,,,,,,,,,,,,
21.6186125,41.9371686,restaurant,Kaj Dzek,,chicken;kebab;grill;local;balkan,,,wlan,,,,,,,,,,,,,,,,,,,,,,,
21.6274047,41.9608168,cafe,Cafe-inn,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.626938,41.9612516,fast_food,Burger King,,burger,,,,,,,no,,,,,yes,,yes,,,,,,,,,,,,
21.6276146,41.9610488,cafe,Cakes & Bakes,,sandwich;coffee_shop;cake,,,wlan,24/7,,,outside,yes,,,,yes,,yes,,,no,,,,,,,,,
22.4079546,41.956237,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.4062744,41.9596507,restaurant,Градче,,regional,,,,,,,,,,Gradče,,,,,,,,,,,,,,,,
22.4072357,41.9639856,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4727082,41.9650429,restaurant,Градина,Gradina,,,,,,,,,,,Gradina,,,,,,,,,,,,,,,,
21.5132989,41.9397195,drinking_water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.5153696,41.939101,drinking_water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.5161585,41.9392561,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.5183709,41.9384565,drinking_water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.5387866,41.9591336,drinking_water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0571809,40.9721129,restaurant,Proper,Proper,,,,,,,Proper,,,,,,,,,,,,,,,,,,,,
21.13865,40.893731,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.158328,40.9069447,drinking_water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.1624357,40.9075981,restaurant,Vila Raskrsnica,,local,,,,,,,,,,,,,,,Milka,,,,,,,,,,,
21.1628707,40.9077301,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.25323,40.9804012,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.2993843,41.9502955,restaurant,Кањон Матка,,regional,,,,,,,,,,,,,,,,,,,,,,,,,,
21.3042751,41.9518181,drinking_water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.3059402,41.9525587,drinking_water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.2954889,41.9584413,cafe,Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.2952909,41.95881,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.2952137,41.96002,restaurant,Fish Grill (Macedonian Cave Restaurant),,,,,,Mo-Su 09:00-21:00,,,,yes,,,,,,,,,,,,,,,,,,
21.2953055,41.9600725,restaurant,,Macedonian Cave Restaurant FISH,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.2961533,41.9610975,restaurant,Манастирска пештера,,regional,,,,,,,,,,,,,,,,,,,,,,,,,,
20.8636388,41.9439294,bar,Kafe te mullajni,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.927576,41.9386572,bar,Sinican,,,102,,,,,Sinican,,,,,,,,,,,,,,,,,,,,
20.9266094,41.938956,drinking_water,Voda,,,,,,,,Voda,,,,,,,,,,,,,,,,,,,,
20.9267987,41.9403239,cafe,Sharr 71,Sharr 71,,101,1221,,,,Sharr 71,,,,,,,,,,,,,Sharr 71,,,,,,,
20.9268824,41.9405207,cafe,Cine 501,Cine 501,,101,1221,,,,Cine 501,,,,,,,,,,,,,Cine 501,,,,,,,
20.9270945,41.940898,fast_food,Max Doner,Max Doner,kebab,101,1221,wlan,,,Max Doner,,,,,,,,,,,,,Max Doner,,,,,,,
20.9262185,41.9420491,fast_food,Rinia 97,Rinia 97,,,,,,,Rinia 97,,,,,,,,,,,,,Rinia 97,,,,,,,
20.9277266,41.9427811,cafe,Mujo,Mujo,,,,,,,Mujo,,,,,,,,,,,,,Mujo,,,,,,,
20.9272881,41.9444009,restaurant,Restoran Elita,Restaurant Elita,,101,1221,,,,Restoran Elita,,,,,,,,,,,,,Restoranti Elita,,,,,,,
20.9284227,41.9445205,drinking_water,Voda za pienje,Drinking water,,,,,,,Voda za pienje,,,,,,,,,,,,,Uji i pijeshëm,,,,,,,
20.929929,41.9485098,restaurant,Niki,Niki,,,,,,,Niki,,,,,,,,,,,,,Ëmbëltore NIKI,,,,,,,
21.000334,41.9425223,drinking_water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.9398801,41.976507,restaurant,Nes Komerc,Nes Komerc,,,,,,,Nes Komerc,,,,,,,,,,,,,Nes Komerc,,,,,,,
22.8186239,41.9752689,restaurant,Рибник Воденица,Vodenica Fish Restaurant,seafood,Road Route A3,2320,,08:00 - 00:00,Delchevo,,outside,yes,,,,yes,,,,,,,,,,,,,,yes
22.8201711,41.9759762,drinking_water,Fountain with natural water,,,,,,,,Чешма со природна вода,,,,,,,,,,,,,,,,,,,,
22.8211477,41.9762515,drinking_water,Света вода,Holly Water,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4565032,41.9729164,restaurant,Тарапана,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4820381,41.9782792,restaurant,Ресторан Рагуза 919,Restaurant Ragusa 919,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4853971,41.9755946,restaurant,1 у 1 (Панда),,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4059587,42.0015351,fast_food,Вили,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4069546,42.0060914,restaurant,Bonimi,Bonimi,regional,Булевар 8-ми Септември,,,Mo-Su 20:00-00:00,,Bonimi,,yes,,,,,https://m.facebook.com/bonimimkd/,,,,,,,,,,,,,
21.4082395,42.0051454,cafe,Cafeteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4061819,42.0062605,bar,Minus Eden,,,,,,Tu-Sa 00:00-04:00,,,,,,,,,,,,,,,,,,,,,,
21.4063144,42.0062651,restaurant,Барбакан,Barbakan,,Булевар 8-ми Септември,1000,,08:00 - 01:00,Cкoпje,,,yes,18,,,,,,,,,,,,,,,,,
21.403605,42.0092296,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4073405,42.0114641,drinking_water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.404147,42.0137478,cafe,Coffeeshop Company lounge,Mezzo Coffee & Lounge,local,,,,,,,,,,,,,,,Sistina,,,,,,,,,,,
21.4100468,42.0127048,restaurant,Меана Б Јавор Мрзенци,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4117168,42.0131608,restaurant,Фиш,,fish,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4037096,42.0818924,restaurant,Ribimiluss,,pizza,,,,,,,,,,,,,,,,,,,,,,,,,,
21.3979429,42.0034744,fast_food,Tripod King,,asian,,,,,,,,,,,,yes,,,,,,,,,,,,,,
21.3981384,42.0033204,cafe,Prikazna,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.398346,42.0034224,cafe,Fluid,Fluid,,,,,,,Флуид,,,,,,,,,,,,,,,,,,,,
21.3989291,42.000855,restaurant,Веки,,,Варшавска,,,,,,,,14,,,,,,,,,,,,,,,,,
21.3992299,42.0017742,restaurant,Фотка,,macedonian,,,,,,,,,,,,,,,,,,,,,,,,,,
21.3986571,42.0032279,pub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.3986642,42.0034137,restaurant,Thong Thai,,thai,,,,Sa-Su 10:00-01:00,,,outside,,,,071 661 234,yes,,,Thong Thai,,,,,,,,,,,
21.3991821,42.0034483,cafe,Giovani,Giovani,regional,,,,,,Џовани,,,,,,,,,,,,,,,,,,,,
21.3994796,42.0030494,cafe,Sugarland,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.3999451,42.0031059,cafe,Мартини,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.3995191,42.0031464,restaurant,Енрико,,italian,,,,,,,,,,,,,,,,,,,,,,,,,,
21.3995909,42.0034064,restaurant,Ана Кристи,,barbecue,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4000902,42.0029952,fast_food,Foodio,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4002154,42.0030463,restaurant,Бабе,,fish,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4001853,42.0031615,restaurant,Буре,,Macedonian,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4005479,42.0031488,fast_food,7,7,,,,,,,7,,,,,,,http://www.7.mk,,,,,,,,,,,,,
21.400699,42.0028979,fast_food,Жужу Бургер,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4012616,42.0032708,fast_food,Magic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.3970638,42.0038026,cafe,Led Zeppelin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.3975417,42.0035286,restaurant,Старо Буре,,international,,,,,,,,,,Staro Bure,,,,,,,,,,,,,,,,
21.4010837,42.0084895,restaurant,бед бунар,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4020786,42.0065896,fast_food,Etna,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.3990452,42.0151641,cafe,Tonnis Bakeri,,,,,wlan,,,,outside,,,,,,,,Tonnish Bakeri,,no,,,,,,,,,
21.4014607,42.0162622,biergarten,ветер и магла бифе,Veter I Magla,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.3488605,42.0308712,fast_food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.3498744,42.030668,fast_food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.3508185,42.0299906,restaurant,Meraklii,,regional,,,,,,,,,,,,,,,,,,,,,,,,,,
21.3479915,42.0313055,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.3482758,42.0316681,fast_food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.3418406,42.0433297,cafe,Makreshanki,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.3462963,42.0464013,restaurant,Restoran Tomi,,regional,,,,,,,,,,,,,,,,,,,,,,,,,,
21.3465234,42.045674,drinking_water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.3469347,42.0455608,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4378942,42.0131776,cafe,Te Flladi,,balkan,Џон Кенеди,1000,wlan,Mo-Su 06:00-02:00,,,,,,,+38978324244,,,,Nazim Sulejmani,,,,,,,,,,,
21.3679919,41.9953546,restaurant,Вила Веранда,Vila Veranda,local,,,,,,,outside,,,,,,,,,,,,,,,,,,,
21.3602983,42.0110921,bar,КАМИН КАМА,Kamin Kama,,Лука Геров,1000,,Mo-Su 10:00-00:00,Скопје,КАМИН КАМА,,,,,,,,,,,,,,,,,,,,
21.3651314,42.0067805,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.3651275,42.0069568,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.3678533,42.0084679,restaurant,Ubac,,,Булевар Ѓорче Петров,1000,wlan,,,,,,2,,072555005,,,,,,,,,,,,,,,
21.3688665,42.0078535,bar,Hazard Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.3695897,42.0078102,fast_food,Пинк,Pink,,,,,,,,,,,Pink,,,,,,,,,,,,,,,,
21.3544426,42.0186405,fast_food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.3546974,42.0184891,fast_food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4342834,41.9932054,drinking_water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4318165,41.9944177,fast_food,BubbleWaffle's,,waffle,Димитрие Чуповски,1000,,10:00-21:00,Скопје,,,no,2,,+389 78 243 483,yes,https://www.facebook.com/bubblewaffleskopje/,,,,,,,,,,,,,
21.4319604,41.9947506,restaurant,Destan,,kebab,11 Октомври,1000,,08:00-23:00,Скопје,,separated,yes,,,,,,yes,,MK,,,,Skopje,11 Oktomvri,,,,,
21.4317257,41.9950911,restaurant,Ла Тераца,,italian,11 Октомври,1000,,"08:00-24:00, Fr-Sa 08:00-01:00",Скопје,,separated,yes,2,La Terrazza,+389 2 3113380,,,yes,,MK,,,,Skopje,11 Oktomvri,,,,,
21.4324491,41.9950653,cafe,Up Cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4342799,41.9943261,restaurant,Кај Џино,Gino,italian,,,,,,,outside,yes,,,+389 2 3121109,,http://www.restorangino.mk/,,,,,contact@restorangino.mk,,,,,,,,
21.4315704,41.9953933,restaurant,Пелистер,Pelister,italian,Плоштад Македонија,1000,,Mo-Th 07:00-00:00; Fr-Sa 07:00-01:00; Su 10:30-00:00,Скопје,,,,,Pelister,,,https://www.pelisterhotel.com.mk/,yes,,,,,,,,,,,,
21.4320378,41.9957057,pub,Колектив,Kolektiv,,,,,,,,outside,yes,,,,,,,Колектив,,,,,,,,,yes,,
21.4320988,41.9956625,pub,,Pivnika Temov,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4330712,41.9958677,cafe,Telekom Trend Lounge Bar,,ice_cream;pizza;pasta,Кеј 13 Ноември,1000,wlan,"Mo-Su 00:00-00:45,08:00-24:00",Cкoпje,,separated,yes,,,,,,yes,,MK,no,,,,,,,,,
21.4335119,41.995703,restaurant,Дион,,italian,,,,,,,,,,Dion,,,,,,,,,,,,,,,,
21.4340509,41.9955386,bar,Етно-бар,Etno Bar,,Кеј 13 Ноември,1000,,,Cкoпje,,outside,yes,,,,,,,Etno Bar,MK,,,,Skopje,Kay 13th November,,Gradski Trgovski Centar Skopje,,,
21.4342829,41.9954679,pub,Даблинер,,,Кеј 13 Ноември,1000,,,Скопје,,no,no,,The Dubliner,,no,,,The Dubliner,MK,,,,Skopje,Kay 13th November,,Gradski Trgovski Centar Skopje,,,
21.4341686,41.9955027,pub,Ало ало,,,Кеј 13 Ноември,1000,,,Скопје,,no,no,,Cafe Alo Alo,,no,,,Cafe Alo Alo,MK,,,,Skopje,Kay 13th November,,Gradski Trgovski Centar Skopje,,,
21.4338587,41.9955972,restaurant,Соул кичен,Soul-Kitchen,international,Кеј 13 Ноември,1000,,,Cкoпje,,outside,yes,,,,,,,Soul-Kitchen,MK,,,,Skopje,Kay 13th November,,Gradski Trgovski Centar Skopje,,,
21.4345059,41.9951019,bar,,,,,,,,,,,,,,,,,,,MK,,,,,,,,,,
21.4352156,41.9951834,pub,Карпе дием,Carpe Diem,,Кеј 13 Ноември,1000,,,Cкoпje,,separated,yes,,Carpe Diem,,,,,,MK,,,,Skopje,Kay 13th November,,Gradski Trgovski Centar Skopje,,,
21.4355402,41.9949989,restaurant,Амика,,international,Кеј 13 Ноември,1000,,,Cкoпje,,,,,Amica,,,,,,MK,,,,Skopje,Kay 13th November,,Gradski Trgovski Centar Skopje,,,
21.4355937,41.9950681,pub,Ирски паб Св. Патрик,St. Patrick Irish Pub,,Кеј 13 Ноември,1000,wlan,"10:00-24:00, Fr-Sa 10:00-01:00",Cкoпje,,separated,yes,,,,,http://www.irishpub.com.mk/,yes,,MK,,,,Skopje,Kay 13th November,,Gradski Trgovski Centar (GTC),,,
21.4383755,41.9945181,bar,,Old lady beer bar,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4343506,41.9954474,pub,Casa Cubana,,,Кеј 13 Ноември,1000,wlan,"10:00-24:00, Fr-Sa 10:00-01:00",Скопје,,outside,yes,28,,,no,,yes,Casa Cubana,MK,no,,,Skopje,Kay 13th November,,Gradski Trgovski Centar Skopje,,,
21.4347685,41.9953199,restaurant,Бела виста,Bella Vista,international,Кеј 13 Ноември,1000,,"10:00-24:00, Fr-Sa 10:00-01:00",Cкoпje,,,,2/4,,,,www.bellavistaskopje.mk,,,MK,,,,Skopje,Kay 13th November,,Gradski Trgovski Centar Skopje,,,
21.4348936,41.9952816,fast_food,Ла Пуерта,,mexican,,,,,,,,no,,La Puerta,,yes,,,,,,,,,,,,,,
21.4350117,41.9952456,restaurant,Плаза де Торос,,Latin_American,Кеј 13 Ноември,1000,,,Cкoпje,,,,,Plaza de Toros,,,,,,MK,,,,Skopje,Kay 13th November,,Gradski Trgovski Centar Skopje,,,
21.4343838,41.9956859,drinking_water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4357732,41.9952912,drinking_water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4367281,41.995288,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4343571,41.9973371,pub,Lounge Bar Divan,,pizza,,,,,,,separated,yes,,,,,,,Hotel Stone Bridge,,,,,,,,,,,
21.434577,41.9973163,restaurant,Sky ресторанот,Sky Restaurant,international,,,,,,,,,,,,,,,Hotel Stone Bridge,,,,,,,,,,,
21.4349757,41.9974686,pub,Lounge Bar Divan,,pizza,,,,,,,separated,yes,,,,,,,Hotel Stone Bridge,,,,,,,,,,,
21.4353025,41.9989349,fast_food,,Gelateria Mony,kebab,,,wlan,,,,,,,,,,,,,,,,,,,,,,,
21.4358564,41.9993401,bar,Менада,Menada,,,,,,,,,,,,,,,no,,,,,,,,,,,,
21.4368849,41.999241,cafe,Old Town,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4355402,41.9994953,restaurant,Австриска палта,Austrian Palace,,,,,,,Austrian Palace,,,,,,,,,,,,,,,,,,,,
21.4353545,41.9999118,bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4355238,42.0005355,drinking_water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4361151,41.9995917,restaurant,СНОШТИ МИНАВ,SNOSTI MINAV,local,,,wlan,,,,,,,,,,,,,,,,,,,,,,,
21.436081,41.9996701,restaurant,Destan,,,,,,,,Destan,,,,,,,,,,,,,,,,,,,,
21.4362086,41.9996644,restaurant,Kaj Гоце,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4362461,41.9996618,restaurant,Kaj Serdarot,,,,,,,,Kaj Cerdarot,,,,,,,,,,,,,,,,,,,,
21.4363148,41.9996587,bar,tavce gravce,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4358296,41.9998288,bar,Rakija Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4358699,42.0000003,cafe,Nargile Cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4366272,41.9993602,drinking_water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4366103,41.9994358,cafe,Clique Bar,,,,,wlan,24/7,,,,,,,,,,,,,,,,,,,,,,
21.4366123,41.9995926,restaurant,кај сердарот,Kaj Serdarot,local;barbecue,,,,,,,,yes,,,,,,,,,,,,,,,,,,
21.4366005,42.0000179,restaurant,Пивница АН,Beerhouse AN,regional,Градиште,1000,wlan,Mo-Sa 09:00-24:00; Su 12:00-24:00,Cкoпje,,separated,yes,14,,+389 02 321 2111,,http://pivnicaan.mk/,,,MK,no,pivnicaan@yahoo.com,,Skopje,Gradiste,,Капан АН,,,
21.4367578,41.9999897,bar,beer cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4358622,42.0001818,pub,,Winery Temov,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4360203,42.0001822,pub,,Damar,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4361778,42.0002555,cafe,k8,,crepe;coffee_shop;cake;ice_cream,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4369808,42.0001669,bar,Клуб Капан Ан,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4367576,42.0003099,restaurant,Туpиcт,Turist,regional,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4373453,41.9984414,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4371953,42.0002786,restaurant,Pçela,,barbecue;local,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4369106,42.0017616,drinking_water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
