X,Y,shop,name,name:en,addr:street,opening_hours,addr:housenumber,addr:postcode,addr:city,name:mk,website,operator,phone,wheelchair,addr:country,internet_access,addr:housename,email,int_name,payment:cash
21.4382827,41.9754208,convenience,Томи,,,,,,,,,,,,,,,,,
21.4387489,41.9754943,bakery,Фарина,,,,,,,,,,,,,,,,,
21.4385402,41.9758834,convenience,Тобако Томи,,,24/7,,,,,,,,,,,,,,
21.4384115,41.9761625,convenience,Жито Маркет,,,,,,,,,,,,,,,,,
21.4389414,41.9762121,bakery,,,,,,,,,,,,,,,,,,
21.4394414,41.9777179,convenience,Mini Market,,,,,,,,,,,,,,,,,
21.4443097,41.9755235,bakery,Москва,,,,,,,,,,,,,,,,,
21.4423887,41.9781016,bakery,Бурекџилница Фортуна,,,,,,,,,,,,,,,,,
21.4507128,41.9628297,bakery,,,Христо Татарчев,,23,,,,,,,,,,,,,
22.3368373,41.9534928,convenience,,,,,,,,,,,,,,,,,,
22.3370232,41.9554922,convenience,,,,,,,,,,,,,,,,,,
22.7614669,41.9709544,bakery,Луна гив пекара,Luna giv bakery,,,,,,,,,,,,,,,,
22.7820353,41.9737984,bakery,Лунагив,Lunagiv,,,,,,Лунагив,,,,,,,,,,
21.4861998,41.9751785,convenience,Елиса,,,Mo-Su 06:00-21:00,,,,,,,,,,,,,,
21.4602135,41.9644601,convenience,,,,,,,,,,,,,,,,,,
21.5144817,41.9400247,alcohol,,,,,,,,,,,,,,,,,,
21.5174965,41.9389912,butcher,Promes,,,,,,,,,,,,,,,,,
21.5138409,41.9404605,bakery,Baba Tala,,,,,,,,,,,,,,,,,
22.7728089,41.9671446,greengrocer,Градски Пазар,City Marketplace,,,,,,,,,,,,,,,,
22.7740767,41.9669504,butcher,Зуна,Zuna,,,,,,Зуна,,,,,,,,,,
22.7743844,41.9668777,bakery,Ангела,Angela,,,,,,,,,,,,,,,,
22.7798536,41.9637609,convenience,Скопјанка маркет,Skopjanka supermarket,,,,,,Скопјанка маркет,,,,,,,,,,
22.7757343,41.9659934,convenience,,,,,,,,,,,,,,,,,,
22.7773809,41.9663099,bakery,Луна Гив,Luna Giv,бул. Македонија,,,2320,Делчево,,,,,,,,,,,
22.775414,41.9669199,convenience,Evropa,,,,,,,,,,,,,,,,,
21.1578555,40.9069849,convenience,,,,,,,,,,,,,,,,,,
20.771611,40.9180328,convenience,,,,,,,,,,,,,,,,,,
20.8711999,41.9428516,convenience,Liza market,,,,,,,,,,,,,,,,,
20.9282246,41.9435919,bakery,,,,,,,,,,,,,,,,,,
21.0560365,42.052108,bakery,G8,,,,,,,,,,,,,,,,,
22.3349195,42.201414,bakery,Furna Vardar,,Orce Nikolov,,,1330,Крива Паланка,,,,,,,,,,,
22.3349584,42.2040231,butcher,Карнем,,Свети Јоаким Осоговски,,,1330,Kriva Palanka,,,,,,,,,,,yes
22.3356935,42.2052678,butcher,Промес+,,Свети Јоаким Осоговски,,,1330,Kriva Palanka,,,,,,,,,,,
22.3364342,42.2058039,convenience,Плод,,,,,,,,,,,,,,,,,
21.4487423,42.0512339,confectionery,Ljubavi,,,,,,,,,,,,,,,,,
21.4522939,42.0538936,convenience,Еци,,,,,,,,,,,,,,,,,
21.4514009,42.0582892,alcohol,,,,,,,,,,,,,,,,,,
21.4506986,42.061731,bakery,Жито Лукс,,,,,,,,,,,,,,,,,
21.450789,42.061905,butcher,,,,,,,,,,,,,,,,,,
21.45066,42.0621038,bakery,Фурна,,,,,,,,,,,,,,,,,
21.4507737,42.0621317,bakery,Чеган,,,,,,,,,,,,,,,,,
21.4509062,42.0617559,confectionery,,,,,,,,,,,,,,,,,,
21.443321,42.0169931,convenience,Три Трговца,,Ќемал Сејфула,,,,,Три Трговца,,,,,,,,,,
22.2869626,42.1816391,bakery,Трајко,,Konopnica,,,,Крива Паланка,,,,,,,,с.конопница,,,
22.2865307,42.1818766,convenience,Бисер,,стамболиска,,,,Крива Паланка,,,,,,,,с.конопница,,,
22.2933297,42.1826982,convenience,Бисер,,Konopnica,,,,Крива Паланка,,,,,,,,с.цонопница,,,
22.2850113,42.189067,convenience,Дако,,стамболиска,,,1330,Крива Паланка,,,,,,,,с.конопница,,,
21.7386693,42.1158085,convenience,Stena Mag,,,,,,,,,,,,,,,,,
21.7125711,42.1333768,convenience,Musli Market,,,,,,,,,,,,,,,,,
21.7092984,42.1381664,convenience,Arma Market,Market Arma,,,,,,,,,,,,,,,,
21.7246883,42.1328075,bakery,Fresh,,,,,,,,,,,,,,,,,
21.7247878,42.1326278,bakery,City Bakery,,,,,,,,,,,,,,,,,
22.0046288,41.4327823,convenience,CodEx - computers,,,,,,,,,,,,,,,,,
22.0132241,41.4341081,butcher,Mesarnica MEGA,,,,,,,,,,,,,,,,,
22.0168577,41.4345745,butcher,Javor,,,,,,,,,,,,,,,,,
21.3750902,42.0060976,bakery,Лепа и Русе,,,,,,,,,,,,,,,,,
21.376509,42.0061557,convenience,,,,,,,,,,,,,,,,,,
21.3719748,42.0071667,convenience,DIEM-GP,,,,,,,,,,,,,,,,,
21.371862,42.0071939,convenience,Алберто,Alberto,,,,,,,,,,,,,,,,
22.5023468,41.1394777,butcher,,,,,,,,,,,,,,,,,,
22.3332827,41.8820514,convenience,GALIJA :D,,,,,,,,,,,,,,,,,
22.3329067,41.9117528,convenience,,,,,,,,,,,,,,,,,,
22.5146289,41.881051,bakery,Nasev,,,,,,,,,,,,,,,,,
22.5150152,41.8821533,convenience,Mak Progres,,,,,,,,,,,,,,,,,
22.1940258,41.7378072,bakery,Балкан Лукс,,,,,,,,,,,,,,,,,
22.1928309,41.7391749,bakery,М-Десерт,,,,,,,,,,,,,,,,,
22.1964428,41.7385996,greengrocer,,,,,,,,,,,,,,,,,,
22.1965194,41.7386147,coffee,,,,,,,,,,,,,,,,,,
22.9392197,41.3951809,convenience,,,,,,,,,,,,,,,,,,
22.9421683,41.3949192,convenience,,,,,,,,,,,,,,,,,,
22.8139526,41.3798835,alcohol,Sulo Vanco Janky,,,,,,,,,,,,,,,,,
22.8136456,41.3812351,convenience,Колид,Kolid,,,,,,,,,,,,,,,Kolid,
22.7262024,41.4157752,convenience,,,,,,,,,,,,,,,,,,
22.8804482,41.4121102,convenience,,,,,,,,,,,,,,,,,,
22.880652,41.4124442,convenience,,,,,,,,,,,,,,,,,,
22.8805876,41.4130476,convenience,,,,,,,,,,,,,,,,,,
22.1911819,41.7471788,butcher,Дени касапино,,Бул. ЈНА,24/7,16,2000,,,,,,,,wlan,,,,
22.1948806,41.7463414,bakery,Ребус,,,,,,,,,,,,,,,,,
22.7243547,41.1790926,convenience,,Boki,,,,,,,,,,,,,,,,
22.7246433,41.1788724,convenience,,Market,,,,,,,,,,,,,,,,
22.7223123,41.1868229,convenience,,Simadi junior,,,,,,,,,,,,,,,,
21.2165395,41.5068524,butcher,Месарница Мармес Деликатес,,,,,,,,,,,,,,,,,
21.2163587,41.5109889,bakery,Лука,Luka,,,,,,,,,,no,,,,,Luka,
21.2511764,41.3665349,convenience,,,,,,,,,,,,,,,,,,
21.2528237,41.3666,convenience,,,,,,,,,,,,,,,,,,
22.0749444,41.2453926,beverages,КОДИНГ-ГОРСКА Дооел,KODING-GORSKA Dooel,Konopiste,24/7,,1437,,,https://www.gorska.com.mk/,,043800256,,,,,gorskavoda@yahoo.com,,
20.6964062,41.5358022,convenience,,,,,,,,,,,,,,,,,,
20.6524337,41.5943721,convenience,,,,,,,,,,,,,,,,,,
20.7091241,41.6482921,farm,,,,,,,,,,,,,,,,,,
20.7585262,41.7030874,convenience,,,,,,,,,,,,,,,,,,
20.5991708,41.6105755,convenience,,,,,,,,,,,,,,,,,,
21.4276016,41.9936824,bakery,,,,,,,,,,,,,,,,,,
21.4276102,41.9947556,convenience,Гранап,Granap,,,,,,,,Гранап,,,,,,,,
