X,Y,shop,name,name:en,name:mk,addr:street,addr:postcode,opening_hours,addr:city,addr:housenumber,website,operator,phone,wheelchair,int_name,name:sq,organic,addr:country,email,addr:housename,addr:street:en,amenity,level
21.6178398,41.9371567,supermarket,Леон,leon,леон,22,1034,Mo-Su 08:00-22:00,,1,,,,,,,,,,,,,
21.5984638,41.9644066,supermarket,Debi,,,,1000,,,,,,,,,,,,,,,,
21.5997839,41.9667903,supermarket,,Debi,,,,,,,,,,,,,,,,,,,
21.6272786,41.9613034,kiosk,,,,,,,,,,,,,,,,,,,,,
21.5073363,41.9382051,supermarket,Гиго Трејд,,,,,,,,,,,,,,,,,,,,
21.5071218,41.9384126,supermarket,Кам,,,,,,,,,,,,,,,,,,,,
21.5103158,41.9392257,supermarket,Вајота 5,,,Славка Динкова,1000,Mo-Su 07:00-22:00,,14,,,,,,,,,vajota@yahoo.com,,,,
21.5212225,41.9323179,supermarket,,,,,,,,,,,,,,,,,,,,,
21.5291548,41.9310608,supermarket,Вајота 1,,,Јустинијан Први,1000,Mo-Su 07:00-22:00,,146,,,,,,,,,vajota@yahoo.com,,,,
21.513671,41.9394701,supermarket,Tinex Discount,,,,,,,,,,,,,,,,,,,,
21.5138463,41.9396863,supermarket,Kam,,,,,,,,,,,,,,,,,,,,
21.5163515,41.938954,supermarket,,,,,,,,,,,,,,,,,,,,,
21.5224241,41.9368193,supermarket,,,,,,,,,,,,,,,,,,,,,
21.5230194,41.9370886,supermarket,Вајота 2,,,Иван Хаџиниколов,1000,Mo-Su 07:00-22:00,,157,,,,,,,,,vajota@yahoo.com,,,,
21.4210729,41.9905755,kiosk,,,,,,,,,,,,,,,,,,,,,
21.4199718,41.9929149,supermarket,Тинекс,Tinex,Tinex,,1000,Mo-Su 08:00-22:00,,,,,,,,,,,,,,,
21.4207815,41.9948735,supermarket,Веро 5,Vero 5,,,,"08:00-22:00; May 01 off",,,https://vero.com.mk/Marketi/Vero5,Веро,+389 2 3220244,yes,,,,,,,,,
21.4199363,41.9966577,supermarket,,,,,,,,,,,,,,,,,,,,,
21.4177897,41.9994766,supermarket,,,,,,,,,,,,,,,,,,,,,
21.4175012,42.0007316,supermarket,КАМ,,,,,,,,,,,,,,,,,,,,
21.4187447,41.9992364,supermarket,,,,,,,,,,,,,,,,,,,,,
21.4220152,41.9990831,supermarket,Tinex,,,,,,,,,,,,,,,,,,,,
21.4168227,42.0011849,supermarket,,,,,,Mo-Sa 09:00-22:00,,,,,,,,,,,,,,,
21.4233757,41.9983625,supermarket,Kapael Tobacco,,,Булевар Партизански Одреди,1000,Mo-Su 08:00-01:00,,23,http://www.facebook.com/tobaccokapael/?fref=ts,,02 6090240,,,,,,,,,,
21.4010157,41.9938597,supermarket,Кам маркет Козле,Kam Market Kosle,,Козле,1000,"Mo-Sa 08:00-21:30; Su 08:00-16:00",Скопје,бб,http://www.kam.com.mk,,+389 2 3085233,yes,,,,,,,Kosle,,
21.4085105,41.9972875,supermarket,Рептил,Reptil,,Атинска,1000,,,,,,,,,,,,,,,,
21.3762625,42.0022775,supermarket,Tinex,,,,,,,,,Tinex,,,,,,,,,,,
21.3262394,41.9980134,supermarket,,,,,,,,,,,,,,,,,,,,,
21.331682,42.0035507,supermarket,,,,,,,,,,,,,,,,,,,,,
21.3340183,42.0078991,supermarket,Kipper,,,Борис Сарафов,,,,,,,,,,,,,,,,,
21.3349543,42.0080177,supermarket,,,,Борис Сарафов,,,,,,,,,,,,,,,,,
21.3396463,42.0076504,supermarket,,,,,,,,,,,,,,,,,,,,,
21.3831193,42.0050579,supermarket,Фреш маркет Бојди,,,Булевар Партизански Одреди,1000,,Скопје,,,,,,,,only,,,,,,
21.3832243,42.0050437,department_store,PAMS Shoe Store 2,,,,,,,,http://www.pams.mk/,,,,,,,,,,,,
21.3818169,42.0067318,supermarket,Tinex,,,,,,,,,,,,,,,,,,,,
21.3829246,42.006382,supermarket,,,,,,,,,,Tinex,,,,,,,,,,,
21.3842555,42.0079128,supermarket,Гранап,Granap,,,,,,,https://www.facebook.com/GranapMarket/,,,,,,,,,,,,
21.3922837,42.0048803,supermarket,Ramstore,,,Љубљанска,1000,08:00-22:00,Skopje,,http://ramstore.com.mk,,,,,City Mall,,,,Skopje City Mall,Ljubljanska,,0
21.393054,42.0065872,supermarket,Vero,,,Манапо,,,,,,,,,,,,,,,,,
21.307597,41.9816819,supermarket,,,,,,,,,,,,,,,,,,,,,
20.9583245,41.9991961,supermarket,БЕРО - ЖАМБО,VERO - JUMBO,,,,,,,,Veropoulos,,,,VERO JUMBO,,,,,,,
20.9589237,41.9990785,supermarket,JYSK,,,,,,,,,,,,,,,,,,,,
20.9715177,41.9979362,supermarket,Tendjerinja tetovo,Tendjerinja tetovo,Tendjerinja tetovo,,,,,,,,,,,,,,,,,,
20.9786298,41.993755,supermarket,продавница,shop,,Nikola Karev 4,1000,,,15,,,,,,,,,,Prodavnica,,,
20.9710281,42.0084835,supermarket,Tinex tetovo,Tinex tetovo,Tinex tetovo,,,,,,,,,,,,,,,,,,
20.9790915,42.0050636,supermarket,Кипер Маркет,Kiper Market,Кипер Маркет,,,,,,,,,,,,,,,,,,
20.979931,42.0054756,supermarket,Кам Маркет,Kam Market,Кам Маркет,,,,,,,,,,,,,,,,,,
20.9741832,42.0093957,supermarket,Рамстор 2 Тетово,Ramstor 2 Tetovo,Ramstor 2 tetovo,,,,,,,,,,,,,,,,,,
20.9903256,42.0054564,supermarket,Ramstore,,,,,,,,,,,,,,,,,,,,0
20.9778769,42.0168566,supermarket,ZEC Electronics Tetovo,,,Мирче Ацев,,Mo-Fr 09:00-17:00,Tetovo,,,ZEC Electronics 078/304030,,,,,,,,,,,
22.7727191,41.96422,supermarket,Жито Маркет,Zhito Market,,,,,,,,,,,,,,,,,,,
22.7721168,41.9648869,supermarket,Извор Маркет,Izvor Market,,,,,,,,,,,,,,,,,,,
22.7713264,41.9654181,supermarket,Кит-Го Супермаркет,Kit-go Supermarket,Кит-Го Супермаркет,,,,,,,,,,,,,,,,,,
22.775244,41.9670758,supermarket,Кит-Го Супермаркет,Kit-go Supermarket,Кит-Го Супермаркет,,,,,,,,,,,,,,,,,,
22.8019192,41.9663717,supermarket,Mederevec (Mini Market),Mederevec TP,Медеревец - ТП,A3,2320,Every day from 06:00 to 21:00,Delcevo,,,Mederevec TP,,limited,Mederevec TP,,,,,,,,
22.804392,41.967327,supermarket,Стрела Пром,Strela Prom,Стрела Пром,Кузманска,,Mo-Su 06:00-21:00,,,,,+38979202900,,,,,,,,,,
22.7799853,41.9680062,supermarket,Коста груп,Kosta group supermarket,Коста груп,,,,,,,,,,,,,,,,,,
22.9190506,41.3740068,supermarket,Supero,,,,,,,,,,,,,,,,,,,,
22.6294437,41.4384422,supermarket,Kit-go market,,Kit-go market,,,,,,,,,,,,,,,,,,
22.6470368,41.4263248,supermarket,,,,,,,,,,,,,,,,,,,,,
22.635881,41.4335847,supermarket,Djuli 2,,Djuli 2,,,,,,,,,,,,,,,,,,
22.6426896,41.4364848,supermarket,Zdavec strumica,,Zdavec strumica,,,,,,,,,,,,,,,,,,
22.6390034,41.4389708,department_store,Global Trade Center,,,,,,,,,,,,,,,,,,,,
22.6414839,41.4382823,supermarket,Tinex,,,,,,,,,,,,,,,,,,,,
22.6419646,41.43816,supermarket,Horizont,,,,,,,,,,,,,,,,,,,,
22.6442899,41.4317489,supermarket,Markator magacin,,Markator magacin,,,,,,,,,,,,,,,,,,
22.647951,41.4302406,supermarket,Kis 2,,Kis 2,,,,,,,,,,,,,,,,,,
22.6446147,41.4331994,supermarket,КИТГО Маркет,,,,,,,,,,,,,,,,,,,,
