X,Y,tourism,name,building,addr:city,addr:postcode,addr:street,addr:country,addr:city:en,name:en,addr:housenumber,website,int_name,internet_access,phone,email,internet_access:fee,stars,addr:street:en,building:levels,rooms,fax,operator,smoking,wheelchair,contact:website,addr:housename,alt_name,amenity,contact:facebook,contact:phone,landuse,name:mk,name:sq,opening_hours,payment:american_express,payment:mastercard,payment:visa,surveillance,surveillance:type
21.4160585154381,41.995273645795,hotel,Rose Diplomatique,hotel,Cкoпje,1000,Роза Луксембург,MK,Skopje,,13,http://www.rosediplomatique.com.mk,,,,,,,Rosa Luxemburg,,,,,,,,,,,,,,,,,,,,,
21.41765355,41.99851235,hotel,Glam,hotel,Cкoпje,1000,,MK,Skopje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4161557110245,41.9897289501086,hotel,Викторија,yes,Cкoпje,1000,Славе Деловски,MK,Skopje,,18,,,,,,,,Slave Delovski,,,,,,,,,,,,,,,,,,,,,
21.42616395,41.9835503,hotel,Hi Skopje Hostel,yes,Cкoпje,1000,Рилски Конгрес,MK,Skopje,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.42680825,41.98390985,hotel,Вила Силија,hotel,,,,,,Vila Silija,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4263827089058,41.985613300148,hotel,Хотел Леонардо,hotel,Cкoпje,1000,Партенија Зографски,MK,Skopje,,19,http://www.hotel-leonardo.com.mk/,,wlan,+389 2 3177517,info@hotel-leonardo.com.mk,no,3,Partenij Zografski,,,,,,,,,,,,,,,,,,,,,
21.4204326693619,41.9854125653796,hotel,Hotel Europe,commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.5417909856492,41.3452218266449,hotel,Кристал Палас,yes,,,,,,Kristal Palas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4445838964659,41.9941813999123,hotel,Apart Hotel Kalonis,yes,Cкoпje,1000,Велешка,,,,,,,yes,,,yes,3,,,,,,,,,,,,,,,,,,,,,,
21.4426625366189,41.9966120043028,hotel,,yes,Cкoпje,1000,,MK,Skopje,,,,,,,,,,,,12,,,,,http://hotelmhc.com/,,,,,,,,,,,,,,
21.4492738,41.9973856,hotel,VIP,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4491002624649,41.9610718564816,hotel,Хотел Наис,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.7558437761916,41.7786008621717,hotel,Романтик,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4055134765653,42.0109433499203,hotel,Александар Палас,yes,Cкoпje,1000,,MK,Skopje,Aleksandar Palace,,,Aleksandar Palace,,,,,,,,,,,,yes,http://www.aleksandarpalace.com.mk/,,,,,+ 389 2 3092 392,,,,,,,,,
22.3560146714628,42.0330861471695,hotel,Одмаралиште на МВР,,,,,,,,,,,,,,,,,,,,,,,,,,,,,village_green,,,,,,,,
